Year,Quarter,GDP,PCE
1947,Q1,2182.7,1351.4
1947,Q2,2176.9,1373.9
1947,Q3,2172.4,1378.4
1947,Q4,2206.5,1378.8
1948,Q1,2239.7,1385.7
1948,Q2,2276.7,1401.8
1948,Q3,2289.8,1403.9
1948,Q4,2292.4,1415.1
1949,Q1,2260.8,1417.4
1949,Q2,2253.1,1439.1
1949,Q3,2276.4,1442.3
1949,Q4,2257.4,1463.5
1950,Q1,2346.1,1487.9
1950,Q2,2417.7,1512.4
1950,Q3,2511.1,1590
1950,Q4,2559.2,1542.1
1951,Q1,2594,1579.4
1951,Q2,2638.9,1534.7
1951,Q3,2693.3,1552.6
1951,Q4,2699.2,1561.7
1952,Q1,2728,1565.3
1952,Q2,2733.8,1595.9
1952,Q3,2753.5,1603.6
1952,Q4,2843.9,1660.2
1953,Q1,2896.8,1679.7
1953,Q2,2919.2,1689.8
1953,Q3,2902.8,1685.8
1953,Q4,2858.8,1674.4
1954,Q1,2845.2,1680.6
1954,Q2,2848.3,1702.4
1954,Q3,2880.5,1725.5
1954,Q4,2936.9,1761.7
1955,Q1,3020.7,1801.2
1955,Q2,3069.9,1835.7
1955,Q3,3111.4,1858.4
1955,Q4,3130.1,1881.7
1956,Q1,3117.9,1884.8
1956,Q2,3143.7,1891.1
1956,Q3,3140.9,1895.4
1956,Q4,3192.6,1921.5
1957,Q1,3213,1934.8
1957,Q2,3206,1938.2
1957,Q3,3237.4,1953.5
1957,Q4,3203.9,1954.3
1958,Q1,3120.7,1927.3
1958,Q2,3141.2,1943.2
1958,Q3,3213.9,1975.5
1958,Q4,3289,2002.3
1959,Q1,3352.1,2039
1959,Q2,3427.7,2070.5
1959,Q3,3430.1,2092.1
1959,Q4,3439.8,2094.5
1960,Q1,3517.2,2114.5
1960,Q2,3498.2,2141.2
1960,Q3,3515.4,2132.6
1960,Q4,3470.3,2135.4
1961,Q1,3493.7,2134.6
1961,Q2,3553,2166.4
1961,Q3,3621.3,2176.9
1961,Q4,3692.3,2220.7
1962,Q1,3758.1,2244.2
1962,Q2,3792.1,2271.8
1962,Q3,3838.8,2290.1
1962,Q4,3851.4,2322.5
1963,Q1,3893.5,2338.8
1963,Q2,3937.2,2360.9
1963,Q3,4023.8,2392.9
1963,Q4,4050.1,2412.8
1964,Q1,4135.6,2460.2
1964,Q2,4180.6,2503.7
1964,Q3,4245.9,2550
1964,Q4,4259,2557.2
1965,Q1,4362.1,2614.3
1965,Q2,4417.2,2643.1
1965,Q3,4515.4,2688.5
1965,Q4,4619.5,2764.1
1966,Q1,4731.9,2804.9
1966,Q2,4748,2812.1
1966,Q3,4788.3,2844.2
1966,Q4,4827.5,2856
1967,Q1,4870.3,2872.5
1967,Q2,4873.3,2911.8
1967,Q3,4919.4,2926.7
1967,Q4,4956.5,2944.6
1968,Q1,5057.6,3015.2
1968,Q2,5142,3061.1
1968,Q3,5181.9,3118.4
1968,Q4,5202.2,3132.5
1969,Q1,5283.6,3167.2
1969,Q2,5299.6,3187.7
1969,Q3,5334.6,3203.2
1969,Q4,5308.6,3228.8
1970,Q1,5300.7,3248.9
1970,Q2,5308.2,3263.6
1970,Q3,5357.1,3292.2
1970,Q4,5299.7,3283.2
1971,Q1,5443.6,3346.3
1971,Q2,5473.1,3377
1971,Q3,5518.1,3403.9
1971,Q4,5531,3460.4
1972,Q1,5632.6,3506.1
1972,Q2,5760.5,3572.8
1972,Q3,5814.9,3627.9
1972,Q4,5912.2,3713
1973,Q1,6058.5,3780.8
1973,Q2,6124.5,3779.1
1973,Q3,6092.3,3792.4
1973,Q4,6150.1,3781.1
1974,Q1,6097.3,3747.3
1974,Q2,6111.8,3760.8
1974,Q3,6054,3776.9
1974,Q4,6030.5,3721.7
1975,Q1,5957,3752.9
1975,Q2,5999.6,3814.7
1975,Q3,6102.3,3868.9
1975,Q4,6184.5,3910.5
1976,Q1,6323.6,3988.7
1976,Q2,6370,4025.4
1976,Q3,6404.9,4067.8
1976,Q4,6451.2,4120.5
1977,Q1,6527.7,4169.1
1977,Q2,6654.5,4191.7
1977,Q3,6774.5,4231.3
1977,Q4,6774.6,4295
1978,Q1,6796.3,4319.1
1978,Q2,7058.9,4411.4
1978,Q3,7129.9,4430
1978,Q4,7225.8,4465.7
1979,Q1,7238.7,4488.8
1979,Q2,7246.5,4485.9
1979,Q3,7300.3,4529.6
1979,Q4,7318.5,4540.8
1980,Q1,7341.6,4534.3
1980,Q2,7190.3,4432.2
1980,Q3,7181.7,4480.8
1980,Q4,7315.7,4541.4
1981,Q1,7459,4556.6
1981,Q2,7403.7,4556.9
1981,Q3,7492.4,4578
1981,Q4,7410.8,4546.7
1982,Q1,7295.6,4580.2
1982,Q2,7328.9,4594.1
1982,Q3,7300.9,4624.9
1982,Q4,7303.8,4706
1983,Q1,7400.1,4752.5
1983,Q2,7568.5,4849.3
1983,Q3,7719.7,4936.2
1983,Q4,7880.8,5014.9
1984,Q1,8034.8,5056.5
1984,Q2,8173.7,5127.3
1984,Q3,8252.5,5165.4
1984,Q4,8320.2,5232.3
1985,Q1,8400.8,5321.2
1985,Q2,8474.8,5370
1985,Q3,8604.2,5472
1985,Q4,8668.2,5483.9
1986,Q1,8749.1,5531.8
1986,Q2,8788.5,5592.1
1986,Q3,8872.6,5691
1986,Q4,8920.2,5725.8
1987,Q1,8986.4,5731.2
1987,Q2,9083.3,5809.4
1987,Q3,9162,5875.6
1987,Q4,9319.3,5888.1
1988,Q1,9367.5,5992.1
1988,Q2,9490.6,6036.4
1988,Q3,9546.2,6090
1988,Q4,9673.4,6159.2
1989,Q1,9771.7,6187.8
1989,Q2,9846.3,6216.7
1989,Q3,9919.2,6276.9
1989,Q4,9938.8,6304.2
1990,Q1,10047.4,6357.2
1990,Q2,10083.9,6376.6
1990,Q3,10090.6,6401.8
1990,Q4,9998.7,6353.1
1991,Q1,9951.9,6329.2
1991,Q2,10029.5,6381.7
1991,Q3,10080.2,6413.5
1991,Q4,10115.3,6410.3
1992,Q1,10236.4,6530.3
1992,Q2,10347.4,6574.7
1992,Q3,10449.7,6645.1
1992,Q4,10558.6,6724.3
1993,Q1,10576.3,6750.1
1993,Q2,10637.8,6811.5
1993,Q3,10688.6,6887.3
1993,Q4,10834,6947.8
1994,Q1,10939.1,7027.3
1994,Q2,11087.4,7081.9
1994,Q3,11152.2,7135.9
1994,Q4,11279.9,7213.1
1995,Q1,11320,7231
1995,Q2,11353.7,7294.4
1995,Q3,11450.3,7360.5
1995,Q4,11528.1,7411.9
1996,Q1,11614.4,7480.2
1996,Q2,11808.1,7560.7
1996,Q3,11914.1,7606.5
1996,Q4,12037.8,7667.1
1997,Q1,12115.5,7747.9
1997,Q2,12317.2,7782.8
1997,Q3,12471,7915.4
